id;id_cards;identity_document;card_number;security_code;expiration_date;cardholder;parcel_quantity
1;942;Identity;interface;41884;Dynamic;Gabão;53891
2;82008;Money;Granadinas implement;55242;online Inteligente cross-platform;Avenida;67163
3;35672;Mouse Tocantins Algodão;Calças;8608;bricks-and-clicks Concreto Congelado;back Grande sensor;14497
4;24785;Gostoso;Brand Agent application;63358;pele;Libéria;82611
5;83211;Prático Coordinator frictionless;District distributed;14704;parsing;ferrugem;32999
6;68047;programming;installation;67506;system scalable demand-driven;cenoura visualize marca;34245
7;33335;Alameda Pernambuco;Eletrônicos;62100;IB withdrawal methodologies;Directives Identity networks;25889
8;45581;Orchestrator Savings Rústico;calculate Credit;57667;connect Botsuana Corporate;Enterprise-wide collaborative withdrawal;92657
9;61591;Kong service-desk;granular;55815;Chapéu;Refinado Sul Mercearia;67080
10;56801;Rondônia Marginal;directional parse Gourde;10837;Credit incremental UIC-Franc;back Iraque;17137
