id;id_user;name;email;password;id_adresses;id_cards;id_orders;id_wishlist
1;73584;solid;Lorenzo.Martins@live.com;Sapatos;66097;53543;98236;42062
2;97733;Applications Loan Marketing;Washington_Braga@gmail.com;Philippine synthesizing index;55090;30228;61007;65238
3;84411;Peso Bola Expanded;Felipe48@live.com;Congelado asynchronous Engineer;73500;23388;88566;91103
4;67031;projection;Davi16@bol.com.br;Self-enabling synthesize;39911;91113;72924;85470
5;34521;24/365;Alessandra71@live.com;Avon;13061;26892;90576;15391
6;48296;Checking Brand laranja;Alice_Costa@live.com;enable;2056;46831;62578;20506
7;70946;e-tailers Cambridgeshire JSON;Elsio.Franco24@hotmail.com;quantify Paraíba bronze;32155;92968;60348;82830
8;25243;systems;Yasmin.Braga@gmail.com;Jóias;2849;76057;19106;32888
9;69505;Alameda;Raul.Carvalho85@yahoo.com;PNG Engineer;70215;18514;35051;57187
10;49217;Genérico real-time;Elisa50@bol.com.br;Prático generating;87264;49768;53814;53176
